uprn,postcode,lsoa_code,RelHMax,calculatedAreaValue,total_consumption,mean_counsumption,median_consumption,prop_households_fuel_poor,LATITUDE,LONGITUDE,mainheat-description,current-energy-rating,current-energy-efficiency,confidence,confidence_within_one_rating,additional_load,additional_peak_load,predicted
10093327106,667,27,8.4,50-75_percentile,2873978.003193278,3110.36580432173,2579.75,40.0887573964497,0,0,0.0,A,93.0,,,0.0,0.0,0
100071199752,1016,18,9.0,<25_percentile,2723448.48285714,3189.049745734356,2518.65,23.622881355932204,0,0,0.0,D,57.0,,,0.0,0.0,0
100071155381,337,35,8.0,<25_percentile,2096566.971428571,3523.641968787514,3019.7,21.49390243902439,0,0,0.0,D,59.0,,,0.0,0.0,0
100071195242,282,34,8.1,<25_percentile,1977217.488431568,3588.416494431159,3129.0,39.19694072657744,0,0,0.0,C,69.0,,,0.0,0.0,0
100071208184,1029,49,8.7,25-50_percentile,2659720.599999998,3843.526878612714,3279.55,21.712158808933,0,0,0.0,C,69.0,,,0.0,0.0,0
100071195693,181,37,8.1,<25_percentile,2019219.631764706,3251.561403807901,2704.5,22.5609756097561,0,0,0.0,D,66.0,,,0.0,0.0,0
100071207455,939,16,8.0,50-75_percentile,2135483.166233765,3400.450901646123,2931.85,30.46757164404223,0,0,1.0,G,6.0,,,0.0,0.0,0
100071150593,350,5,7.9,<25_percentile,2139915.958823528,3828.114416500051,3204.5,25.38860103626943,0,0,0.0,C,76.0,,,0.0,0.0,0
100071142574,795,25,7.1,25-50_percentile,1983287.671428569,3665.966120940054,3315.6,48.13432835820896,0,0,0.0,D,67.0,,,0.0,0.0,0
10007124690,257,29,13.0,>75_percentile,3490777.096666667,4180.571373253493,3199.0,22.09165687426557,0,0,1.0,D,58.0,,,0.0,0.0,0
10033912212,612,0,11.5,>75_percentile,2812690.339999997,3624.600953608244,2956.95,23.214285714285715,0,0,1.0,C,79.0,,,0.0,0.0,0
100071155499,625,0,7.4,50-75_percentile,2812690.339999997,3624.600953608244,2956.95,23.214285714285715,0,0,0.0,E,53.0,,,0.0,0.0,0
100071153923,1098,43,8.9,25-50_percentile,2742282.470338682,3584.682967762983,2636.7,30.328867235079173,0,0,0.0,D,62.0,,,0.0,0.0,0
10093327557,357,14,7.6,25-50_percentile,2226215.357142857,3409.211879238679,2986.1,30.478955007256893,0,0,0.0,A,94.0,,,0.0,0.0,0
10090015179,322,34,8.2,50-75_percentile,1977217.488431568,3588.416494431159,3129.0,39.19694072657744,0,0,0.0,B,83.0,,,0.0,0.0,0
10090014783,105,1,9.2,50-75_percentile,4493188.715936151,3383.425237903728,2723.55,33.78607809847199,0,0,0.0,C,79.0,,,0.0,0.0,0
10093323822,105,1,10.6,25-50_percentile,4493188.715936151,3383.425237903728,2723.55,33.78607809847199,0,0,0.0,B,81.0,,,0.0,0.0,0
10090642146,1059,48,8.1,<25_percentile,3609812.91176471,3481.0153440354,2725.7,21.47093712930012,0,0,0.0,B,84.0,,,0.0,0.0,0
100071156552,839,13,8.0,50-75_percentile,2434909.713550419,3846.618820774754,3195.9,13.813813813813812,0,0,0.0,D,61.0,,,0.0,0.0,0
100071163509,365,5,6.4,25-50_percentile,2139915.958823528,3828.114416500051,3204.5,25.38860103626943,0,0,0.0,D,65.0,,,0.0,0.0,0
100071160061,1134,40,7.6,50-75_percentile,1990415.49857143,2835.349713064715,2355.1,25.073313782991203,0,0,0.0,C,72.0,,,0.0,0.0,0
100071203720,478,14,8.3,25-50_percentile,2226215.357142857,3409.211879238679,2986.1,30.478955007256893,0,0,0.0,D,65.0,,,0.0,0.0,0
100071191625,1198,30,6.8,>75_percentile,2049254.653,3143.028608895705,2618.1,16.522988505747126,0,0,0.0,C,70.0,,,0.0,0.0,0
100071163842,876,10,8.3,50-75_percentile,2565703.500000002,3223.245603015078,2692.95,22.10401891252955,0,0,0.0,D,68.0,,,0.0,0.0,0
100071144474,1108,41,8.3,25-50_percentile,1739371.55607143,2805.437993663596,2414.65,24.645390070921984,0,0,0.0,C,71.0,,,0.0,0.0,0
100071203838,276,33,9.2,50-75_percentile,2123836.026050422,3819.848967716587,3301.95,19.10714285714285,0,0,0.0,D,61.0,,,0.0,0.0,0
100071192354,427,6,8.7,25-50_percentile,2227999.44,3243.085065502183,2654.7,26.412614980289096,0,0,0.0,E,52.0,,,0.0,0.0,0
100071144023,123,36,8.8,50-75_percentile,2129770.000000002,3872.309090909095,3312.6,15.18987341772152,0,0,0.0,D,61.0,,,0.0,0.0,0
10033913834,396,6,6.0,>75_percentile,2227999.44,3243.085065502183,2654.7,26.412614980289096,0,0,0.0,C,80.0,,,0.0,0.0,0
10093324669,308,36,9.4,>75_percentile,2129770.000000002,3872.309090909095,3312.6,15.18987341772152,0,0,1.0,E,39.0,,,0.0,0.0,0
100071136455,866,9,7.4,50-75_percentile,2571617.811764708,3705.501169689781,3085.6,16.619718309859156,0,0,0.0,D,63.0,,,0.0,0.0,0
100071193083,619,0,7.3,50-75_percentile,2812690.339999997,3624.600953608244,2956.95,23.214285714285715,0,0,0.0,D,57.0,,,0.0,0.0,0
100071353463,954,18,57.9,>75_percentile,2723448.48285714,3189.049745734356,2518.65,23.622881355932204,0,0,0.0,C,73.0,,,0.0,0.0,0
10090644021,903,49,9.4,50-75_percentile,2659720.599999998,3843.526878612714,3279.55,21.712158808933,0,0,0.0,B,83.0,,,0.0,0.0,0
100071181422,408,6,8.4,50-75_percentile,2227999.44,3243.085065502183,2654.7,26.412614980289096,0,0,0.0,C,69.0,,,0.0,0.0,0
100071193618,689,28,8.3,<25_percentile,2383310.8,3683.633384853168,3213.9,39.94169096209912,0,0,0.0,C,69.0,,,0.0,0.0,0
100071138899,875,10,11.0,>75_percentile,2565703.500000002,3223.245603015078,2692.95,22.10401891252955,0,0,1.0,C,69.0,,,0.0,0.0,0
100071133993,421,7,3.3,50-75_percentile,2051579.500000002,3676.665770609322,3139.45,33.77926421404682,0,0,0.0,D,59.0,,,0.0,0.0,0
100071174132,894,10,8.0,>75_percentile,2565703.500000002,3223.245603015078,2692.95,22.10401891252955,0,0,0.0,E,50.0,,,0.0,0.0,0
100071186779,458,9,8.5,25-50_percentile,2571617.811764708,3705.501169689781,3085.6,16.619718309859156,0,0,0.0,E,48.0,,,0.0,0.0,0
100071145620,432,24,5.6,50-75_percentile,1986984.530769232,3934.622833206401,3491.2,40.25735294117647,0,0,0.0,D,68.0,,,0.0,0.0,0
100071178642,1042,50,7.6,25-50_percentile,2218047.920000001,3257.045403817917,2728.5,21.818181818181817,0,0,0.0,D,68.0,,,0.0,0.0,0
100071161776,120,37,9.8,50-75_percentile,2019219.631764706,3251.561403807901,2704.5,22.5609756097561,0,0,0.0,D,60.0,,,0.0,0.0,0
100071187057,1082,46,7.6,25-50_percentile,2451632.028571432,3349.224082747857,2731.6,11.95219123505976,0,0,0.0,E,48.0,,,0.0,0.0,0
100071141228,1046,49,6.9,50-75_percentile,2659720.599999998,3843.526878612714,3279.55,21.712158808933,0,0,0.0,D,65.0,,,0.0,0.0,0
10033912497,682,27,8.1,<25_percentile,2873978.003193278,3110.36580432173,2579.75,40.0887573964497,0,0,0.0,B,81.0,,,0.0,0.0,0
100071173854,1079,9,7.7,>75_percentile,2571617.811764708,3705.501169689781,3085.6,16.619718309859156,0,0,0.0,E,54.0,,,0.0,0.0,0
100071205713,1204,30,6.9,50-75_percentile,2049254.653,3143.028608895705,2618.1,16.522988505747126,0,0,0.0,C,75.0,,,0.0,0.0,0
100071557155,394,6,11.7,>75_percentile,2227999.44,3243.085065502183,2654.7,26.412614980289096,0,0,0.0,B,84.0,,,0.0,0.0,0
