,Unnamed: 0,uprn,current-energy-rating,mainheat-description,original-postcode,original-constituency,original-msoa_code,original-lsoa_code,original-local-authority,floor-height,total-floor-area,total_consumption,mean_counsumption,median_consumption,prop_households_fuel_poor,LATITUDE,LONGITUDE,prediction_confidence,predicted,additional_load
0,0,100071015706.0,F,0,B90 3RX,E14000931,E02002098,E01010199,E08000029,2.4,106.8,3091316.683193277,3999.11601965495,3428.4,10.50531914893617,52.4117559,-1.8121391,,0,42552.0
1,1,10008751287.0,C,1,DY4 7AF,E14001030,E02002058,E01009980,E08000028,2.32647965420778,57.0,3055014.643956045,3523.661642394516,2950.0,14.715719063545151,52.5288669,-2.0399121,,0,0.0
2,2,100070505582.0,D,0,B32 4BP,E14000560,E02001932,E01033629,E08000025,2.480353436814087,73.0,3826013.260855612,3416.083268621082,2794.4,26.718213058419245,52.4319434,-2.0022733,,0,11377.0
3,3,100070307476.0,C,0,B14 5YG,E14000567,E02001947,E01008979,E08000025,2.3889210705761244,50.0,2833278.219999998,3632.407974358972,2946.3,21.28174123337364,52.4078591,-1.9079854,,0,5237.0
4,4,100070609709.0,C,0,CV3 6AD,E14000651,E02001988,E01009548,E08000026,2.3,66.325,2641223.602621373,2265.200345301349,3049.4,12.311780336581045,52.3966779,-1.5163615,,0,6567.0
5,5,10090067902.0,B,0,WS8 6GE,E14000531,E02002110,E01010306,E08000030,2.354726778782897,101.0,3692499.466666668,3928.190921985817,3256.35,13.145539906103288,52.6468114,-1.9366613,,0,7159.0
6,6,10024027317.0,C,1,CV4 9WY,E14000651,E02001993,E01032531,E08000026,2.31,62.7,4260642.185892669,3191.492274076906,2648.2,27.36156351791531,52.3989004,-1.5757998,,0,0.0
7,7,100070401362.0,D,0,B32 3UD,E14000560,E02001920,E01008921,E08000025,2.486196892696296,83.0,2458995.800000004,3860.275981161702,2929.2,14.95601173020528,52.4436029,-2.0129698,,0,11377.0
8,8,100070539181.0,E,0,B21 9BT,E14000566,E02001865,E01009352,E08000025,2.6,150.0,1916140.200000002,3801.86547619048,2998.15,27.2189349112426,52.5030599,-1.928369,,0,31159.0
9,9,90075896.0,D,0,B63 4DL,E14000722,E02002038,E01009739,E08000027,2.45,63.86,2258196.411764705,3411.172827439132,2740.45,20.72463768115941,52.4531512,-2.0647702,,0,11377.0
10,10,200001563669.0,D,0,CV1 3AQ,E14000650,E02001977,E01009650,E08000026,2.76,14.0,2886526.50730976,4589.072348664165,3089.6,29.04761904761905,52.4109374,-1.5246132,,0,9058.0
11,11,100071120174.0,D,0,WV14 8DS,E14001050,E02002181,E01010412,E08000031,2.3,42.69,2796388.968907565,3262.997629997159,2862.2,24.3956043956044,52.5559392,-2.0642663,,0,9058.0
12,12,100070612026.0,D,0,CV2 1JR,E14000649,E02001961,E01009605,E08000026,2.4501708640854387,68.0,2833087.466666667,3599.857009741635,2869.1,23.89758179231864,52.4429416,-1.4700882,,0,11377.0
13,13,100071021510.0,D,0,B90 3RP,E14000931,E02002098,E01010199,E08000029,2.4284795353524995,66.0,3091316.683193277,3999.11601965495,3428.4,10.50531914893617,52.408948,-1.8102398,,0,11377.0
14,14,90164097.0,C,0,DY1 2BL,E14000671,E02002010,E01009885,E08000027,2.3676293001949387,58.0,2470998.507668803,3495.047394156723,2822.8,20.62841530054645,52.5073827,-2.0980301,,0,6567.0
15,15,10091518509.0,B,0,B23 5UN,E14000561,E02001849,E01033632,E08000025,2.310938129599751,76.0,4170757.2,3198.433435582822,2548.85,17.911791179117913,52.5305133,-1.8359633,,0,3140.0
16,16,32144457.0,D,0,B66 3PT,E14001016,E02002068,E01010064,E08000028,2.3,75.9,3553437.886906038,4019.726116409545,2523.4,27.012278308321964,52.4897878,-1.9603189,,0,11377.0
17,17,100070633084.0,D,0,CV6 3ED,E14000650,E02001968,E01009625,E08000026,2.4,69.0,3229199.390322583,3384.905021302498,2929.9,20.8955223880597,52.4213231,-1.5171076,,0,11377.0
18,18,100070648996.0,C,0,CV2 3EN,E14000649,E02001975,E01009657,E08000026,2.4475802794327493,55.0,2270187.8,3563.874097331241,3012.8,16.838995568685377,52.418931,-1.4684933,,0,6567.0
19,19,10090606878.0,B,0,DY4 8TH,E14001030,E02002057,E01010076,E08000028,2.3414892137086407,113.0,2506769.691428573,2994.945867895548,2558.4,20.82670906200318,52.5305854,-2.0580452,,0,7159.0
20,20,100071546755.0,D,1,WS1 3DX,E14001012,E02002139,E01010370,E08000030,2.46249618107069,59.0,3490146.342533937,3934.77603442383,2976.2,22.002200220022004,52.5795661,-1.9796744,,0,0.0
21,21,100070491622.0,D,0,B38 8NA,E14000565,E02001953,E01009111,E08000025,2.4535069413207085,79.0,2224946.120000001,3526.063581616483,3145.7,16.166666666666664,52.3972121,-1.9472024,,0,11377.0
22,22,100070569791.0,D,0,B32 2DJ,E14000560,E02001911,E01009256,E08000025,2.4516579321760155,70.0,2099437.540336134,3087.408147553138,2673.7,24.335664335664337,52.4570783,-1.9816279,,0,11377.0
23,23,100071433442.0,F,1,B17 8EH,E14000560,E02001886,E01009139,E08000025,2.4,32.0,2231469.938095239,3867.36557728811,2920.1,23.510971786833856,52.4788836,-1.9623016,,0,0.0
24,24,100071436329.0,C,0,B19 1SL,E14000564,E02001867,E01033628,E08000025,2.334709880971002,40.0,3407204.740000002,3157.743039851716,2489.1,29.66101694915254,52.5028789,-1.9018232,,0,5237.0
25,25,100070547275.0,C,0,B19 2JQ,E14000564,E02001867,E01008909,E08000025,2.39,58.273,2107983.867914439,3548.794390428349,2994.25,31.57894736842105,52.4992596,-1.9063239,,0,6567.0
26,26,100071339170.0,D,1,B37 6PU,E14000812,E02002086,E01010141,E08000029,2.4415320872864434,64.0,1967259.354848488,2949.414325110176,2504.6,19.09476661951909,52.4860789,-1.7377058,,0,0.0
27,27,90105245.0,E,0,DY8 3TZ,E14000976,E02002034,E01009906,E08000027,2.489351377090588,66.0,2518228.053333333,2623.154222222222,2117.8,23.318872017353577,52.45684,-2.1567679,,0,18078.0
28,28,90085111.0,C,0,DY9 9AE,E14000976,E02002036,E01009838,E08000027,2.4107603084848552,77.0,2263613.209090909,3388.642528579206,2911.1,22.708039492242595,52.4499569,-2.1053469,,0,6567.0
29,29,100070719793.0,C,0,CV3 2FQ,E14000651,E02001992,E01009537,E08000026,2.44,90.0,2094264.78923077,3154.013236793327,2648.8,18.552036199095024,52.3953676,-1.4468638,,0,6567.0
30,30,100070294910.0,C,0,B13 9RS,E14000562,E02001930,E01009175,E08000025,2.43,73.0,2074543.111764706,3362.306502049766,2780.9,18.26625386996904,52.4351874,-1.8857186,,0,6567.0
31,31,100070652892.0,E,1,CV2 4LW,E14000649,E02001973,E01009659,E08000026,2.7,55.0,2608009.812330315,3093.724569786851,2395.3,31.076178960096733,52.4140163,-1.4855038,,0,0.0
